status	priority	size	type	rev	role	title	problem	created
blocked	P1	L	FEATURE	1	Разработчик · Backend / Frontend / БД / Боты	Prodamus: рассрочка 19 900 ₽ (дробление) + годовая подписка 49 000 ₽/год (12 платежей)	Цена была 25 000 (не канон 19 900). Рассрочка и годовая подписка не реализованы — клиент не может заплатить частями или сразу за год.	2026-09-18
blocked	P2	M	SECURITY	0	НЕ НАЗНАЧЕН	Human-in-the-loop: расширить approval-гейты на критичные узлы (прайс, P&L-выгрузка)	Approval-гейты не покрывают прайс и P&L-выгрузку — критические действия закрываются без владельца.	2026-09-13
blocked	P2	M	AI	0	НЕ НАЗНАЧЕН	Temperature=0.0 для Директора/Финансиста/Валидатора (детерминизм управления)	Temperature не задан по ролям — директор/финансист/валидатор недетерминированы.	2026-09-13
needs_revision	P0	L	BUG	0	Разработчик · Backend / Frontend / БД / Боты	Финансы в мини-аппе = фейк: два источника правды, фронт читает не тот	Финансы в мини-аппе показывают фейк — два источника правды, фронт читает не тот. АУДИТ 19.09 (Claude 5): ТРИ независимых расчёта расхода на AI показаны как одно число — finance_core.compute_all() (Σ s	2026-09-15
needs_revision	P0	M	BUG	0	Разработчик #2 · Backend / Frontend / БД / Боты	Run Health: stall-детекция (прогресс, не время) + os.killpg	Зависший прогон не детектится по прогрессу — воркер висит до таймаута, блокируя очередь.	2026-09-16
needs_revision	P0	M	FEATURE	3	Разработчик #2 · Backend / Frontend / БД / Боты	Run Health: карантин после сбоя (не ре-делегировать по кругу)	Сбойная задача ре-делегируется по кругу — движок жжёт бюджет на зависшую/падающую задачу.	2026-09-16
needs_revision	P0	M	code	1	Разработчик #3 · Backend / Frontend / БД / Боты	Кнопки «утвердил/не утвердил» в отчётах не срабатывают (409 Conflict)	—	2026-09-16
needs_revision	P0	M	BUG	1	Разработчик #3 · Backend / Frontend / БД / Боты	БАГ: QA-кнопки (✅/💬) не работают — гейтвей роняет колбэки, на ручных утверждениях кнопок нет	—	2026-09-18
needs_revision	P1	M	DATA	1	Директор · Продюсер / Управляющий	КРИТИЧНО: цифры по сотрудникам (часы работы, число задач) расходятся между вкладками	Цифры по сотрудникам (часы, число задач) расходятся между вкладками мини-аппа — единого источника нет.	2026-09-13
needs_revision	P1	M	BILLING	3	Разработчик #3 · Backend / Frontend / БД / Боты	BYOK: клиент вставляет свой DeepSeek API-ключ вместо общего баланса владельца	Клиент жжёт общий баланс владельца — нет BYOK (свой API-ключ).	2026-09-13
needs_revision	P1	M	DATA	0	Разработчик · Backend / Frontend / БД / Боты	Починить XP/уровни (5.2): пусто и цифры расходятся	XP/уровни сотрудников пустые или расходятся с реальными прогонами (§5.2).	2026-09-14
needs_revision	P1	M	FEATURE	1	Разработчик #3 · Backend / Frontend / БД / Боты	Распаковка = интерактивная квалификация (20-30 вопросов) → развёртывание кабинета по ответам	Распаковка не автоматизирована — квалификация и развёртывание кабинета идут вручную.	2026-09-14
needs_revision	P1	L	—	1	Разработчик · Backend / Frontend / БД / Боты	ШАГ 4: .md-контент → knowledge_sources, файлы удалить	—	2026-09-15
needs_revision	P1	M	—	1	Разработчик · Backend / Frontend / БД / Боты	Мини-апп не загружается (пустой экран / 503) — диагностика и фикс	—	2026-09-15
needs_revision	P1	L	DATA	4	Разработчик #3 · Backend / Frontend / БД / Боты	Вшить бэклог-систему в код: схема + статус-машина + два коридора	Схема бэклога не закреплена в коде — нет трёх полей жизненного цикла (started_at/accepted_at/review_date), статус-машина не соответствует спеке §28.	2026-09-16
needs_revision	P1	M	DATA	4	Разработчик #3 · Backend / Frontend / БД / Боты	Разметить задачи по спеке: wave/type/done_when/verification/problem/risk/rollback/metric	96 активных задач не синхронизированы со схемой бэклога (wave/type/done_when/риски/метрики) — планер не приоритизирует по реальной ценности.	2026-09-16
needs_revision	P1	M	BUG	0	Разработчик #2 · Backend / Frontend / БД / Боты	Фикс застрявших in_progress: прогон done → review, error → needs_revision	Прогоны зависают в in_progress: done не уходит в review, error не уходит в needs_revision — задачи застревают без прогресса.	2026-09-16
needs_revision	P1	L	AI	1	Разработчик #3 · Backend / Frontend / БД / Боты	Оптимизация контекста: снизить токены на прогон	Контекст на прогон раздут — тратится больше токенов, чем нужно при том же качестве.	2026-09-16
needs_revision	P1	M	QUALITY	2	Разработчик #3 · Backend / Frontend / БД / Боты	Технический полный прогон бота-воронки (разработчик)	Бот-воронка не прогнан технически целиком — неизвестно, где падает от /start до оплаты.	2026-09-16
needs_revision	P1	M	FEATURE	1	Разработчик #2 · Backend / Frontend / БД / Боты	Тир light → Ollama qwen2.5:7b: чтение БД/суммирование бесплатно, DeepSeek только на complex	Чтение БД и суммирование идут через дорогой deepseek-v4-pro — деньги тратятся на операции, которые делает локальная Ollama бесплатно (qwen2.5:7b влезает в 8GB RAM)	2026-09-18
needs_revision	P1	L	REFACTOR	1	Разработчик #3 · Backend / Frontend / БД / Боты	Разбить монолит backend.py (14 027 строк) на модули по слоям (как у Кости: handlers/scripts/utils)	—	2026-09-18
needs_revision	P1	L	REFACTOR	1	Разработчик #3 · Backend / Frontend / БД / Боты	Единый ИИ-шлюз + кэш по хэшу промта (паттерн queue_generate Кости)	—	2026-09-18
needs_revision	P1	M	FEATURE	1	Разработчик #3 · Backend / Frontend / БД / Боты	Ночная сверка данных (перед вечерним отчётом 18:00): XP/расход/точность/статусы ↔ реальность	Данные в кабинете/отчётах кривые и странные. Нужна регулярная сверка с реальностью (ночью или перед вечерним отчётом), чтобы цифры не врали	2026-09-18
needs_revision	P1	M	FEATURE	1	Разработчик #3 · Backend / Frontend / БД / Боты	Состав подписки клиента: база 5 сотрудников + докупка с выбором роли (1000₽/мес)	Не определено, какие сотрудники входят в подписку клиента базово и какие докупаются. Клиент должен получить работающую команду сразу (5 базовых), а усиление — докупкой по выбору	2026-09-18
needs_revision	P1	L	FEATURE	1	Разработчик #3 · Backend / Frontend / БД / Боты	Web-книга «Нейро-Воронка»: SPA с паролем + оглавлением + поиском (как книга Кости, но наша внутрянка)	—	2026-09-18
needs_revision	P1	M	FEATURE	1	Маркетолог · Трафик / Контент / SMM / Книга	Сайт: привести все страницы в порядок + блок рассрочки + грамотное описание функционала NCAi	—	2026-09-18
needs_revision	P2	M	—	0	НЕ НАЗНАЧЕН	Векторная RAG-база + локальный reranker (BAAI/bge-reranker-base)	—	2026-09-13
needs_revision	P2	M	AI	1	Разработчик #2 · Backend / Frontend / БД / Боты	Строгий JSON-протокол между агентами — ТОЛЬКО клиентский слой	JSON между агентами нестрогий везде — нужен строгий протокол только на клиентском слое.	2026-09-13
needs_revision	P2	M	AI	1	Разработчик #3 · Backend / Frontend / БД / Боты	Strict JSON захват анкеты клиента (Pydantic BusinessProfile)	Анкета клиента захватывается нестрого — BusinessProfile не валидируется на каждом шаге.	2026-09-13
